,index,batchId,category,classId,eachSlot,subjectId,subjectShortName,teacherId,totalHrs
0,0,-,T,2,1,5,AB,40.0,3
1,0,-,T,2,1,5,AB,40.0,2
2,0,-,T,2,1,5,AB,40.0,1
3,1,-,T,2,1,6,TCS,31.0,3
4,1,-,T,2,1,6,TCS,31.0,2
5,1,-,T,2,1,6,TCS,31.0,1
6,2,-,T,2,1,7,MPT,24.0,3
7,2,-,T,2,1,7,MPT,24.0,2
8,2,-,T,2,1,7,MPT,24.0,1
9,3,-,T,2,1,8,PPL,14.0,3
10,3,-,T,2,1,8,PPL,14.0,2
11,3,-,T,2,1,8,PPL,14.0,1
12,4,-,T,2,1,10,ILOE-Sem4,41.0,3
13,4,-,T,2,1,10,ILOE-Sem4,41.0,2
14,4,-,T,2,1,10,ILOE-Sem4,41.0,1
15,5,-,T,2,1,9,DC,23.0,3
16,5,-,T,2,1,9,DC,23.0,2
17,5,-,T,2,1,9,DC,23.0,1
18,6,-,T,3,1,5,AB,40.0,3
19,6,-,T,3,1,5,AB,40.0,2
20,6,-,T,3,1,5,AB,40.0,1
21,7,-,T,3,1,6,TCS,9.0,3
22,7,-,T,3,1,6,TCS,9.0,2
23,7,-,T,3,1,6,TCS,9.0,1
24,8,-,T,3,1,7,MPT,24.0,3
25,8,-,T,3,1,7,MPT,24.0,2
26,8,-,T,3,1,7,MPT,24.0,1
27,9,-,T,3,1,8,PPL,14.0,3
28,9,-,T,3,1,8,PPL,14.0,2
29,9,-,T,3,1,8,PPL,14.0,1
30,10,-,T,3,1,10,ILOE-Sem4,42.0,3
31,10,-,T,3,1,10,ILOE-Sem4,42.0,2
32,10,-,T,3,1,10,ILOE-Sem4,42.0,1
33,11,-,T,3,1,9,DC,5.0,3
34,11,-,T,3,1,9,DC,5.0,2
35,11,-,T,3,1,9,DC,5.0,1
36,12,-,T,4,1,18,OS,30.0,3
37,12,-,T,4,1,18,OS,30.0,2
38,12,-,T,4,1,18,OS,30.0,1
39,13,-,T,4,1,20,CASP,11.0,3
40,13,-,T,4,1,20,CASP,11.0,2
41,13,-,T,4,1,20,CASP,11.0,1
42,14,-,T,4,1,21,SE,20.0,3
43,14,-,T,4,1,21,SE,20.0,2
44,14,-,T,4,1,21,SE,20.0,1
45,15,-,T,4,1,60,ILOE-Sem6,43.0,3
46,15,-,T,4,1,60,ILOE-Sem6,43.0,2
47,15,-,T,4,1,60,ILOE-Sem6,43.0,1
48,16,-,T,5,1,35,LP,7.0,3
49,16,-,T,5,1,35,LP,7.0,2
50,16,-,T,5,1,35,LP,7.0,1
51,17,-,T,5,1,36,AnC,3.0,3
52,17,-,T,5,1,36,AnC,3.0,2
53,17,-,T,5,1,36,AnC,3.0,1
54,18,-,T,5,1,38,SDP,36.0,3
55,18,-,T,5,1,38,SDP,36.0,2
56,18,-,T,5,1,38,SDP,36.0,1
57,19,-,T,5,1,60,ILOE-Sem6,43.0,3
