,index,batchId,category,classId,eachSlot,subjectId,subjectShortName,teacherId,totalHrs
0,0,-,T,2,1,5,AB,40,3
1,1,-,T,2,1,6,TCS,31,3
2,2,-,T,2,1,7,MPT,24,3
3,3,-,T,2,1,8,PPL,14,3
4,4,-,T,2,1,10,ILOE-Sem4,41,3
5,5,-,T,2,1,9,DC,23,3
6,6,-,T,3,1,5,AB,40,3
7,7,-,T,3,1,6,TCS,9,3
8,8,-,T,3,1,7,MPT,24,3
9,9,-,T,3,1,8,PPL,14,3
10,10,-,T,3,1,10,ILOE-Sem4,42,3
11,11,-,T,3,1,9,DC,5,3
12,12,-,T,4,1,18,OS,30,3
13,13,-,T,4,1,20,CASP,11,3
14,14,-,T,4,1,21,SE,20,3
15,15,-,T,4,1,60,ILOE-Sem6,43,3
16,16,-,T,5,1,35,LP,7,3
17,17,-,T,5,1,36,AnC,3,3
18,18,-,T,5,1,38,SDP,36,3
19,19,-,T,5,1,60,ILOE-Sem6,43,3
20,20,-,T,8,1,3,FCP,22,3
21,21,-,T,9,1,3,FCP,32,3
22,22,-,T,10,1,3,FCP,26,3
23,23,-,T,11,1,3,FCP,9,3
24,24,-,T,12,1,3,FCP,23,3
25,25,-,T,13,1,53,AA,6,3
26,26,-,T,13,1,54,SIC,17,3
27,27,-,T,13,1,55,DMML,4,3
28,28,-,T,13,1,56,CVBD,1,3
29,29,-,T,13,1,58,ES,27,3
30,30,-,T,13,1,61,MOOC,9,3
31,0,26,L,2,1,1,FM-II,,3
32,1,31,L,2,1,1,FM-II,,3
33,2,2,L,8,1,2,ECW,,3
34,3,6,L,9,1,2,ECW,,3
35,4,10,L,10,1,2,ECW,,3
36,5,14,L,11,1,2,ECW,,3
37,6,18,L,12,1,2,ECW,,3
38,7,3,L,8,1,2,ECW,,3
39,8,7,L,9,1,2,ECW,,3
40,9,11,L,10,1,2,ECW,,3
41,10,15,L,11,1,2,ECW,,3
42,11,19,L,12,1,2,ECW,,3
43,12,4,L,8,1,2,ECW,,3
44,13,8,L,9,1,2,ECW,,3
45,14,12,L,10,1,2,ECW,,3
46,15,16,L,11,1,2,ECW,,3
47,16,20,L,12,1,2,ECW,,3
48,17,5,L,8,1,2,ECW,,3
49,18,9,L,9,1,2,ECW,,3
50,19,13,L,10,1,2,ECW,,3
51,20,17,L,11,1,2,ECW,,3
52,21,21,L,12,1,2,ECW,,3
53,22,2,L,8,2,4,FCP-Lab,,4
54,23,6,L,9,2,4,FCP-Lab,,4
55,24,10,L,10,2,4,FCP-Lab,,4
56,25,14,L,11,2,4,FCP-Lab,,4
57,26,18,L,12,2,4,FCP-Lab,,4
58,27,3,L,8,2,4,FCP-Lab,,4
59,28,7,L,9,2,4,FCP-Lab,,4
60,29,11,L,10,2,4,FCP-Lab,,4
61,30,15,L,11,2,4,FCP-Lab,,4
62,31,19,L,12,2,4,FCP-Lab,,4
63,32,4,L,8,2,4,FCP-Lab,,4
64,33,8,L,9,2,4,FCP-Lab,,4
